name,essround,edition,proddate,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,donprty,badge,sgnptit,pbldmna,bctprd,pstplonl,volunfp,clsprty,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,lrnobed,loylead,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,gndr
ESS11e01,11,1,2024-06-20,50489,AT,30,5,180,7,7,7,3,3,1,3,2,8,9,9,5,5,9,8,3,2,2,1,2,2,2,1,1,1,3,6,8,9,7,9,7,7,2,1,5,2,1,2,2,2,2,3,7,5,3,9,2
ESS11e01,11,1,2024-06-20,50512,AT,15,5,60,8,8,9,3,2,2,2,2,5,5,7,5,5,5,5,1,2,2,2,2,2,1,2,2,2,6,5,10,3,3,5,8,5,2,1,1,2,1,2,4,2,2,3,7,3,3,9,2
ESS11e01,11,1,2024-06-20,50517,AT,120,3,6666,7,8,5,1,2,3,2,3,7,6,7,5,3,5,8,1,2,2,2,2,2,2,2,2,1,3,4,8,4,3,8,8,3,2,1,5,2,0,3,4,2,3,3,8,5,5,7,1
ESS11e01,11,1,2024-06-20,50577,AT,30,3,6666,2,3,3,2,3,3,3,3,4,6,8,4,3,3,3,1,2,2,2,2,2,2,2,2,1,2,7,7,4,4,5,9,7,2,2,2,4,0,1,2,2,3,4,8,3,4,7,1
ESS11e01,11,1,2024-06-20,50591,AT,15,5,60,7,5,4,2,3,3,3,2,0,8,8,1,1,0,0,1,2,2,2,1,2,1,1,2,1,2,8,8,4,0,0,5,3,2,1,5,2,2,3,3,3,3,3,4,0,0,8,2
ESS11e01,11,1,2024-06-20,50592,AT,120,1,6666,5,8,6,2,1,2,2,3,3,88,88,5,5,4,4,1,2,2,2,2,2,2,2,2,1,2,4,10,6,2,6,88,4,1,2,2,2,4,4,4,3,3,3,5,5,5,9,2
ESS11e01,11,1,2024-06-20,50611,AT,0,5,300,7,7,7,4,1,2,1,5,2,3,3,0,0,0,0,2,2,2,2,1,2,2,2,2,2,6,88,8,3,0,2,4,5,8,1,5,1,88,5,5,2,4,4,88,5,4,8,2
ESS11e01,11,1,2024-06-20,50623,AT,10,5,120,7,8,7,2,4,4,4,5,9,10,9,8,9,10,10,1,2,2,2,2,2,2,2,2,1,1,2,9,7,9,9,10,9,1,1,5,1,9,2,2,2,2,2,9,9,9,9,2
ESS11e01,11,1,2024-06-20,50637,AT,120,5,180,7,8,8,2,1,2,1,2,8,8,8,5,4,5,5,3,2,2,2,2,2,2,2,2,1,2,3,8,6,6,8,5,8,2,1,4,1,8,1,2,2,2,3,5,7,5,8,1
ESS11e01,11,1,2024-06-20,50638,AT,30,1,6666,5,4,4,2,2,3,2,4,5,6,7,2,2,3,5,1,1,2,2,1,2,1,2,2,1,6,77,7,6,4,6,5,3,2,2,3,3,6,3,4,2,3,3,6,3,4,7,1
